Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
ms_237,237,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21577153882270086,5.2297579758983844e-11,0.0017774614670405678
ms_158,158,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_246,246,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.20492342957471715,0.00037603190894381505,0.011107535425836729
ms_131,131,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_277,277,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22446616093778618,3.1117059956595387e-09,0.0017726553342964965
ms_278,278,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,1.995331366767499e-05,0.0038320248603215565
ms_102,102,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2148008442393083,7.078850974519598e-10,0.00311652415301777
ms_229,229,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,2.245038908861834e-06,0.002753223414289151
ms_35,35,manuscript,1,1,1.0,1.0,0.005681818181818182,0.00012140637140637142,0.22507078359351088,4.572489464570299e-08,0.002755265367300034
ms_164,164,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2270585011116601,3.1117059956595387e-09,0.0017726553342964965
ms_287,287,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_141,141,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_157,157,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_139,139,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_135,135,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_5,5,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.21274991319946765,3.8009133860547187e-10,0.0018517614703827067
ms_274,274,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2314612975321078,0.3706254058488338,0.007293521240785781
ms_45,45,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23570529875625082,7.078850974519598e-10,0.0018855705288862222
ms_57,57,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.24254725227602586,6.022692012433391e-06,0.007803995784647515
ms_97,97,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_117,117,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_112,112,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21577153882270086,5.2297579758983844e-11,0.0017774614670405678
ms_146,146,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_55,55,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_93,93,manuscript,1,1,1.0,1.0,0.005681818181818182,2.697919364586031e-06,0.2818129120036793,5.2297579758983844e-11,0.001692205846017647
ms_300,300,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_171,171,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2314612975321078,0.3706254058488338,0.007293521240785781
ms_26,26,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_49,49,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21020761863922244,1.3634726151449361e-09,0.001974174588567747
